qname	SC5314	target2
orf19.5741	C6_03700W_A	ALS1
orf19.1097	C6_04380W_A	ALS2
orf19.1816	CR_07070C_A	ALS3
orf19.4555	C6_04130C_A	ALS4
orf19.5736	C6_03690W_A	ALS5
orf19.7414	C3_06190C_A	ALS6
orf19.7400	C3_06320W_A	ALS7
orf19.5742	C6_03710W_A	ALS9
orf19.346	C3_03480C_A	ALT1
orf19.1507	C2_01950C_A	AMN1
orf19.5784	C2_03120W_A	AMO1
orf19.3152	C2_06700W_A	AMO2
orf19.2768	C4_02360W_A	AMS1
orf19.3426	C6_01610W_A	ANB1
orf19.3622	C2_08570W_A	ANP1
orf19.6254	C1_06570W_A	ANT1
orf19.4774	C1_09160W_A	AOX1
orf19.4773	C1_09150W_A	AOX2
orf19.5630	C6_03410C_A	APA2
orf19.6046	C1_00600W_A	APC1
orf19.5197	C1_04400C_A	APE2
orf19.3591	C2_08800C_A	APE3
orf19.707	CR_06730W_A	APG7
orf19.231	C3_02430W_A	APL2
orf19.2844	CR_02870W_A	APL4
orf19.248	C3_02590W_A	APL5
orf19.4036	C5_05400W_A	APM1
orf19.2194	C2_07880W_A	APM4
orf19.7428	C3_06430W_A	APN1
orf19.1836	C1_10650W_A	APN2
orf19.393	C1_08480C_A	APS3
orf19.1448	C2_01430W_A	APT1
orf19.2849	CR_02920C_A	AQY1
orf19.2172	C2_08130W_A	ARA1
orf19.2422	CR_03060W_A	ARC1
orf19.6151	CR_07210W_A	ARC15
orf19.121	C6_01140C_A	ARC18
orf19.3251	CR_01040C_A	ARC19
orf19.2437	C1_06080C_A	ARC35
orf19.3873	CR_06180W_A	ARC40
orf19.6322	C6_00150W_A	ARD
orf19.2248	C2_06940C_A	ARE2
orf19.6447	CR_08700C_A	ARF1
orf19.5964	C3_04950W_A	ARF2
orf19.1702	C3_01470W_A	ARF3
orf19.7469	CR_00620C_A	ARG1
orf19.5926	C3_04660C_A	ARG11
orf19.56	C1_05020C_A	ARG2
orf19.5610	C6_03230W_A	ARG3
orf19.6689	C7_03570W_A	ARG4
orf19.4788	C1_09290C_A	"ARG5,6"
orf19.3770	C4_05070C_A	ARG8
orf19.4766	C1_09090C_A	ARG81
orf19.2748	C4_02530W_A	ARG83
orf19.3521	C2_04880C_A	ARH2
orf19.4603	C4_01890C_A	ARL1
orf19.2297	C1_11190W_A	ARL3
orf19.4704	C4_00890W_A	ARO1
orf19.1847	CR_06860C_A	ARO10
orf19.1986	CR_07710W_A	ARO2
orf19.1517	C2_02030W_A	ARO3
orf19.4060	C1_05110C_A	ARO4
orf19.1170	C1_11500C_A	ARO7
orf19.2098	C2_00340C_A	ARO8
orf19.3012	C1_03200C_A	ARO80
orf19.1237	C4_05560C_A	ARO9
orf19.2641	C5_03380W_A	ARP1
orf19.7292	CR_08950W_A	ARP2
orf19.2289	C2_07320W_A	ARP3
orf19.5623	C6_03350C_A	ARP4
orf19.3359	C1_01700W_A	ARP8
orf19.2507	C3_01030W_A	ARP9
orf19.3122	C4_06890W_A	ARR3
orf19.5931	C3_04710W_A	ARV1
orf19.3015	C1_03230C_A	ARX1
orf19.6906	C7_01250W_A	ASC1
orf19.7377	C3_05960W_A	ASE1
orf19.3715	CR_07860C_A	ASF1
orf19.166	CR_02560C_A	ASG1
orf19.5520	C6_02510C_A	ASG7
orf19.5343	C2_10660W_A	ASH1
orf19.3964	C5_04780W_A	ASH2
orf19.4675	C4_01150W_A	ASK1
orf19.6037	C1_00680W_A	ASM3
orf19.198	C2_09060C_A	ASN1
orf19.2344	C1_10740C_A	ASR1
orf19.7284	CR_08890C_A	ASR2
orf19.842	C2_03790C_A	ASR3
orf19.6214	C1_06940C_A	ATC1
orf19.5877	C3_04340W_A	ATF1
orf19.3841	C4_04450C_A	ATG1
orf19.3412	C6_01740C_A	ATG15
orf19.5974	C3_05040C_A	ATG9
orf19.1077	C6_04210C_A	ATM1
orf19.6169	C3_00920W_A	ATO1
orf19.3263	CR_00930W_A	ATO10
orf19.2496	C3_00930W_A	ATO2
orf19.6997	C3_05620W_A	ATO5
orf19.6995	C3_05600W_A	ATO6
orf19.1571	C2_02470C_A	ATO7
orf19.3261	CR_00970W_A	ATO9
orf19.6854	C1_04610W_A	ATP1
orf19.5491.1	C2_06290C_A	ATP14
orf19.7678	CR_10850C_A	ATP16
orf19.7509.1	CR_00250W_A	ATP17
orf19.2066.1	C2_00610C_A	ATP18
orf19.5231.2	C1_12320C_A	ATP19
orf19.5653	C4_00270W_A	ATP2
orf19.3757	C1_12590W_A	ATP20
orf19.3223	CR_01310W_A	ATP3
orf19.3579	C2_05500W_A	ATP4
orf19.5419	C3_00460W_A	ATP5
CaalfMp06	CM_00160C	ATP6
orf19.2785	C1_07600W_A	ATP7
CaalfMp07	CM_00170C	ATP8
CaalfMp05	CM_00140C	ATP9
orf19.6399	CR_08320W_A	ATS1
orf19.2369.1	CR_06950C_A	ATX1
orf19.1945	C5_01240W_A	AUR1
orf19.2480.1	C1_05700W_A	AUT7
orf19.5496	C2_06330C_A	AVT1
orf19.1142	C1_11750W_A	AVT4
orf19.905	C2_03250W_A	AVT7
orf19.7342	CR_09470W_A	AXL1
orf19.5292	C4_04170C_A	AXL2
orf19.6167	C3_00900C_A	AYR1
orf19.5615	C6_03270C_A	AYR2
orf19.3809	C4_04730W_A	BAS1
orf19.797	C2_04230W_A	BAT21
orf19.6994	C3_05590C_A	BAT22
orf19.2791	C1_07540C_A	BBC1
orf19.5162	C7_02990W_A	BCK1
orf19.723	CR_06440C_A	BCR1
orf19.2014	C2_01110C_A	BCY1
orf19.978	C5_00200C_A	BDF1
orf19.4645	C4_01410W_A	BEM1
orf19.6573	C7_01550W_A	BEM2
orf19.2771	C4_02310W_A	BEM3
orf19.7563	CR_09890C_A	BET2
orf19.1039	C1_04070C_A	BET4
orf19.6080	C1_00230C_A	BFA1
orf19.4560	C4_02270C_A	BFR1
orf19.4565	C4_02250C_A	BGL2
orf19.7339	CR_09420C_A	BGL22
orf19.2334	C1_10830W_A	BIG1
orf19.2593	CR_01930C_A	BIO2
orf19.3567	C2_05360C_A	BIO32
orf19.2182	C2_08010W_A	BLM3
orf19.4914.1	C1_12850W_A	BLP1
orf19.3014	C1_03220C_A	BMH1
orf19.2504	C3_01000W_A	BMS1
orf19.6782	C3_07180C_A	BMT1
orf19.3282	CR_00740C_A	BMT3
orf19.5612	C6_03250W_A	BMT4
orf19.1464	C2_01560W_A	BMT5
orf19.5602	C6_03160C_A	BMT6
orf19.342	C3_03450C_A	BMT7
orf19.860	C2_03600W_A	BMT8
orf19.4673	C4_01170C_A	BMT9
orf19.5809	C2_02950W_A	BNA31
orf19.1589.1	C2_02640C_A	BNA32
orf19.5443	C3_00260C_A	BNA4
orf19.4927	C1_12960C_A	BNI1
orf19.4457	C1_03860C_A	BNI4
orf19.7537	CR_00070W_A	BNR1
orf19.3230	CR_01240C_A	BOI2
orf19.6261	C1_06520C_A	BPH1
orf19.976	C5_00210C_A	BRE1
orf19.6649	CR_05650W_A	BRF1
orf19.4056	C1_05140W_A	BRG1
orf19.1251	C4_05660C_A	BRN1
orf19.1670	C3_01750C_A	BRO1
orf19.1053	C1_04190C_A	BST1
orf19.1171	C1_11490C_A	BTA1
orf19.6674	C5_03620W_A	BTS1
orf19.2678	C4_03120C_A	BUB1
orf19.5827	C2_02780C_A	BUB2
orf19.2655	C5_03240W_A	BUB3
orf19.3555	C2_05260W_A	BUD14
orf19.1828	C1_06210W_A	BUD16
orf19.940	C5_00490C_A	BUD2
orf19.218	C2_08880W_A	BUD20
orf19.5430	C3_00370C_A	BUD21
orf19.3287	CR_00680W_A	BUD22
orf19.1966	C5_01060C_A	BUD23
orf19.4855	C1_09880C_A	BUD31
orf19.1842	CR_06910W_A	BUD5
orf19.5087	C1_08120W_A	BUD6
orf19.1112	C5_03820C_A	BUD7
orf19.5094	C1_08170C_A	BUL1
orf19.5245	C1_12190W_A	BUL4
orf19.4284	C5_02670W_A	BUR2
orf19.1699	C3_01500C_A	BZZ1
orf19.3260	CR_00980C_A	CAB3
orf19.6670	C5_03580C_A	CAC2
orf19.388	C1_08430W_A	CAF16
orf19.4015	C5_05220W_A	CAG1
orf19.793	C2_04270W_A	CAK1
orf19.7382	C3_06010W_A	CAM1
orf19.2651	C5_03280W_A	CAM1-1
orf19.97	C6_00960W_A	CAN1
orf19.111	C6_01060C_A	CAN2
orf19.84	C6_00830C_A	CAN3
orf19.1623	C3_02220W_A	CAP1
orf19.861	C2_03590C_A	CAP4
orf19.3934	C5_04490C_A	CAR1
orf19.5641	C4_00160C_A	CAR2
orf19.1135	C1_11810W_A	CAS1
orf19.1693	C3_01530C_A	CAS4
orf19.4670	C4_01190W_A	CAS5
orf19.6229	C1_06810W_A	CAT1
orf19.4591	C4_02020W_A	CAT2
orf19.5097	C1_08190C_A	CAT8
orf19.2876	C4_06580W_A	CBF1
orf19.4909	C1_10380C_A	CBK1
orf19.7323	CR_09270C_A	CBP1
orf19.1801	C4_05450C_A	CBR1
orf19.6948	C3_03710W_A	CCC1
orf19.4328	C5_03020W_A	CCC2
orf19.3264	CR_00920W_A	CCE1
orf19.3298	C1_01100W_A	CCH1
orf19.3207	C5_01680C_A	CCN1
orf19.238	C3_02480C_A	CCP1
orf19.5101	C1_08220W_A	CCR4
orf19.4449	C1_07180W_A	CCS1
orf19.1402	C2_09520C_A	CCT2
orf19.4004	C5_05120W_A	CCT3
orf19.2288	C2_07310W_A	CCT5
orf19.3126	C4_06830C_A	CCT6
orf19.3206	C5_01690C_A	CCT7
orf19.6099	C1_00110W_A	CCT8
orf19.1969	C5_01010W_A	CCW14
orf19.5725	C6_03580W_A	CCZ1
orf19.7503	CR_00300W_A	CDA2
orf19.548	CR_04570C_A	CDC10
orf19.5691	C5_00070W_A	CDC11
orf19.3013	C1_03210C_A	CDC12
orf19.6072	C1_00360W_A	CDC13
orf19.4192	C6_00670W_A	CDC14
orf19.3545	C2_05140W_A	CDC15
orf19.3575	C2_05460W_A	CDC19
orf19.122	C6_01150W_A	CDC20
orf19.3549	C2_05190W_A	CDC21
orf19.6437	CR_08630W_A	CDC23
orf19.3174	C5_01970C_A	CDC24
orf19.3231	CR_01230C_A	CDC27
orf19.3856	CR_06050W_A	CDC28
orf19.1055	C1_04210C_A	CDC3
orf19.6529	C7_01920W_A	CDC34
orf19.5531	C6_02610C_A	CDC37
orf19.1084	C6_04270W_A	CDC39
orf19.2559	CR_01680C_A	CDC4
orf19.390	C1_08450C_A	CDC42
orf19.1803	CR_04910W_A	CDC43
orf19.1988	CR_07720C_A	CDC45
orf19.5487	C2_06250C_A	CDC46
orf19.202	C2_09020W_A	CDC47
orf19.2340	C1_10790W_A	CDC48
orf19.6010	C1_00950C_A	CDC5
orf19.5735	C6_03660C_A	CDC50
orf19.1674	C3_01700W_A	CDC53
orf19.3761	C1_12550C_A	CDC54
orf19.1468	C2_01600C_A	CDC55
orf19.5242	C1_12220W_A	CDC6
orf19.2560	CR_01690C_A	CDC60
orf19.2884	C4_06500W_A	CDC68
orf19.3561	C2_05320W_A	CDC7
orf19.2983	C1_02920W_A	CDC73
orf19.7314	CR_09180W_A	CDG1
orf19.2084	C2_00450C_A	CDH1
orf19.3773	C4_05060W_A	CDL1
orf19.6000	C3_05220W_A	CDR1
orf19.918	C3_04070C_A	CDR11
orf19.5958	C3_04890W_A	CDR2
orf19.1313	C4_03620C_A	CDR3
orf19.5079	C1_08070W_A	CDR4
orf19.1279	C5_04100W_A	CDS1
orf19.4799	C1_09370W_A	CEF1
orf19.4152	C5_01580C_A	CEF3
orf19.2886	C4_06480C_A	CEK1
orf19.460	CR_05940W_A	CEK2
orf19.5977	C3_05070W_A	CEM1
orf19.2609	CR_02090C_A	CET1
orf19.3744	CR_02250C_A	CEX1
orf19.1263	C4_05770C_A	CFL1
orf19.701	CR_06670W_A	CFL11
orf19.1264	C4_05780C_A	CFL2
orf19.1932	C5_01360W_A	CFL4
orf19.1930	C5_01380W_A	CFL5
orf19.2722	C4_02760C_A	CGR1
orf19.1261	C4_05760W_A	CGT1
orf19.1996	C2_01270W_A	CHA1
orf19.3496	C6_02120W_A	CHC1
orf19.896	C2_03320W_A	CHK1
orf19.6851	C1_04570C_A	CHL4
orf19.677	C1_11240C_A	CHO1
orf19.169	CR_02540W_A	CHO2
orf19.3756	C1_12600C_A	CHR1
orf19.5188	C7_02770W_A	CHS1
orf19.7298	CR_09020C_A	CHS2
orf19.4937	C1_13110C_A	CHS3
orf19.7349	C3_05700W_A	CHS4
orf19.807	C2_04140W_A	CHS5
orf19.5155	C7_03060C_A	CHS6
orf19.2444	C1_06010W_A	CHS7
orf19.5384	C3_00710W_A	CHS8
orf19.7517	CR_00180C_A	CHT1
orf19.3895	C5_04130C_A	CHT2
orf19.7586	CR_10110W_A	CHT3
orf19.1515	C2_02010C_A	CHT4
orf19.124	C6_01170W_A	CIC1
orf19.113	C6_01070C_A	CIP1
orf19.2839	CR_02810W_A	CIRT4B
orf19.6053	C1_00550W_A	CIS2
orf19.4393	CR_03500W_A	CIT1
orf19.7652	CR_10660W_A	CKA1
orf19.3530	C2_04980C_A	CKA2
orf19.2102	C2_00300C_A	CKB1
orf19.4297	C5_02760W_A	CKB2
orf19.1282	C5_04070C_A	CKS1
orf19.4890	C1_10210C_A	CLA4
orf19.1446	C2_01410C_A	CLB2
orf19.7186	C7_03940C_A	CLB4
orf19.4594	C4_01980C_A	CLC1
orf19.6146	CR_07240C_A	CLG1
orf19.1960	C5_01100C_A	CLN3
orf19.4413	C4_06030W_A	CMD1
orf19.5911	C3_04550C_A	CMK1
orf19.1754	C2_10260C_A	CMK2
orf19.6033	C1_00730C_A	CMP1
orf19.4009	C5_05160C_A	CNB1
orf19.367	C4_00040W_A	CNH1
orf19.6052	C1_00560W_A	CNS1
orf19.4118	C2_06020W_A	CNT
CaalfMp11	CM_00330W	COB
orf19.953.1	C5_00370W_A	COF1
orf19.6880	C2_05680W_A	COG4
orf19.5063	C1_07900W_A	COI1
orf19.3400	C6_01840C_A	COQ3
orf19.3008	C1_03160C_A	COQ4
orf19.3577	C2_05470W_A	COQ5
orf19.3058	C1_03550C_A	COQ6
CaalfMp08	CM_00210W	COX1
orf19.1416	C4_04310W_A	COX11
orf19.1467	C2_01590W_A	COX13
orf19.3656	C6_00720C_A	COX15
orf19.2006.1	C2_01180W_A	COX17
orf19.4967	C1_13410W_A	COX19
CaalfMp01	CM_00030W	COX2
CaalfMp04	CM_00070C	COX3A
CaalfMp15	CM_00520W	COX3B
orf19.1471	C2_01620W_A	COX4
orf19.4759	C1_09030C_A	COX5
orf19.873.1	C2_03470C_A	COX6
orf19.227	C3_02400C_A	COX7
orf19.5213.1	C2_05920C_A	COX8
orf19.5213.2	C2_05930W_A	COX9
orf19.4630	C4_01550C_A	CPA1
orf19.3221	CR_01330W_A	CPA2
orf19.4433	C1_07370C_A	CPH1
orf19.1187	C6_00280W_A	CPH2
orf19.4866	C1_10000C_A	CPP1
orf19.1552	C2_02320C_A	CPR3
orf19.7654	CR_10670W_A	CPR6
orf19.1339	C7_03360W_A	CPY1
orf19.2599	CR_01980C_A	CRC1
orf19.4674.1	C4_01160W_A	CRD2
orf19.633	CR_04960C_A	CRG1
orf19.2706	C4_02900C_A	CRH11
orf19.3966	C5_04800W_A	CRH12
orf19.3523	C2_04930C_A	CRK1
orf19.3330	C1_01420C_A	CRL1
orf19.7483	CR_00520C_A	CRM1
orf19.6534.2	C7_01850C_A	CRN1
orf19.4784	C1_09250W_A	CRP1
orf19.7359	C3_05780C_A	CRZ1
orf19.2356	CR_07060C_A	CRZ2
orf19.7114	C7_00090C_A	CSA1
orf19.3117	C4_06920C_A	CSA2
orf19.6926	C3_03890W_A	CSC25
orf19.6163	C3_00860W_A	CSE4
orf19.4477	C1_04020C_A	CSH1
orf19.3366	C4_03390W_A	CSH3
orf19.5232	C1_12310C_A	CSI2
orf19.7208	C1_14010W_A	CSK1
orf19.7663	CR_10740W_A	CSM1
orf19.4105	C2_06130W_A	CSM3
orf19.2883	C4_06510C_A	CSO99
orf19.3512	CR_05430W_A	CSP1
orf19.4170	C4_00720W_A	CSP2
orf19.2531	CR_01470W_A	CSP37
orf19.3794	C4_04850C_A	CSR1
orf19.4242	C5_02340C_A	CST20
orf19.2127	C6_04430W_A	CST5
orf19.3401	C6_01830W_A	CTA1
orf19.6112	C1_00040W_A	CTA2
orf19.4054	C5_05500C_A	CTA24
orf19.7680	CR_10860C_A	CTA26
orf19.1166	C1_11540C_A	CTA3
orf19.7374	C3_05930W_A	CTA4
orf19.3102	C4_07070W_A	CTA6
orf19.4288	C5_02700W_A	CTA7
orf19.4775	C1_09170W_A	CTA8
orf19.3315	C1_01270W_A	CTA9
orf19.1499	C2_01890W_A	CTF1
orf19.3239	CR_01150C_A	CTF18
orf19.3494	C6_02130C_A	CTF5
orf19.576	C5_00740W_A	CTF8
orf19.7612	CR_10360C_A	CTM1
orf19.4551	C1_01740W_A	CTN1
orf19.2809	C3_04000C_A	CTN3
orf19.5870	C3_04270C_A	CTP1
orf19.3646	C6_00790C_A	CTR1
orf19.4720	C1_08620W_A	CTR2
orf19.448	C1_05170C_A	CUE5
orf19.3940.1	C5_04560C_A	CUP1
orf19.5001	C1_13640W_A	CUP2
orf19.5886	C3_04390W_A	CUP5
orf19.6514	C7_02040C_A	CUP9
orf19.1771	C2_10100W_A	CWC22
orf19.4719	C4_06100W_A	CWH41
orf19.3225	CR_01290C_A	CWH43
orf19.3682	C1_02250W_A	CWH8
orf19.5849	CR_05530C_A	CWT1
orf19.5000	C1_13630W_A	CYB2
orf19.7049	C7_00700W_A	CYB5
orf19.1770	C2_10110W_A	CYC1
orf19.1957	C5_01130W_A	CYC3
orf19.6242	C1_06690W_A	CYK3
orf19.7410	C3_06230W_A	CYM1
orf19.6472	C7_02380C_A	CYP1
orf19.7421	C3_06360C_A	CYP5
orf19.5148	C7_03070C_A	CYR1
orf19.6402	CR_08340W_A	CYS3
orf19.4536	C1_01870C_A	CYS4
orf19.3527	C2_04950C_A	CYT1
orf19.4578	C4_02130W_A	CYT2
orf19.3127	C4_06820C_A	CZF1
orf19.2157	C6_04600W_A	DAC1
orf19.5008.1	C1_13710C_A	DAD1
orf19.3551	C2_05210W_A	DAD2
orf19.3871	CR_06160C_A	DAD3
orf19.596.2	CR_08010W_A	DAD4
orf19.4688	C4_01010C_A	DAG7
orf19.4777	C1_09190C_A	DAK2
orf19.5454	C3_00180C_A	DAL1
orf19.313	C3_03140C_A	DAL4
orf19.309	C3_03120C_A	DAL5
orf19.3208	C5_01670W_A	DAL52
orf19.5023	C1_13850C_A	DAL7
orf19.5859	C3_04160W_A	DAL8
orf19.3252	CR_01030W_A	DAL81
orf19.6956	C3_03640W_A	DAL9
orf19.4837	C1_09730W_A	DAM1
orf19.3065	C1_03670C_A	DAO1
orf19.3365	C4_03380C_A	DAO2
orf19.489	CR_04060C_A	DAP1
orf19.4322	C5_02970W_A	DAP2
orf19.1223	C2_06670C_A	DBF2
orf19.5166	C7_02950C_A	DBF4
orf19.171	CR_02530W_A	DBP2
orf19.4870	C1_10030W_A	DBP3
orf19.1661	C3_01860C_A	DBP5
orf19.6902	C7_01200C_A	DBP7
orf19.6652	CR_05630W_A	DBP8
orf19.3506	C6_02050W_A	DBR1
orf19.7083	C7_00370W_A	DCC1
orf19.244	C3_02550C_A	DCG1
orf19.815	C2_04050C_A	DCK1
orf19.816	C2_04040C_A	DCK2
orf19.6373	CR_08120C_A	DCP2
orf19.3796	C4_04830W_A	DCR1
orf19.1989	C2_01360C_A	DCW1
orf19.245	C3_02560W_A	DDC1
orf19.7258	C1_14420W_A	DDI1
orf19.4082	C2_09220W_A	DDR48
orf19.7392	C3_06100C_A	DED1
orf19.6702	C7_03670W_A	DED81
orf19.7561	CR_09880W_A	DEF1
orf19.4392	CR_03490W_A	DEM1
orf19.4048	C5_05480W_A	DES1
orf19.209	C2_08970C_A	DFG10
orf19.881	C2_03400C_A	DFG16
orf19.2075	C2_00520W_A	DFG5
orf19.7084	C7_00360W_A	DFI1
orf19.5142	C7_03130C_A	DFR1
orf19.6197	C1_07070C_A	DHH1
orf19.6971	C3_05340W_A	DIE2
orf19.5010	C1_13730C_A	DIM1
orf19.5106	C1_08290C_A	DIP2
orf19.2942	C1_02530C_A	DIP5
orf19.1741	CR_04640W_A	DIT1
orf19.554	CR_04630C_A	DIT2
orf19.991	C1_10480W_A	DJP1
orf19.5805	C2_02980C_A	DLD1
orf19.6755	C3_07360W_A	DLD2
orf19.3760	C1_12560C_A	DLH1
orf19.1192	C6_00320C_A	DNA2
orf19.6987	C3_05520C_A	DNM1
orf19.4829	C1_09660W_A	DOA1
orf19.7207	C1_14000C_A	DOA4
orf19.3392	C6_01900C_A	DOG1
orf19.2419	CR_03070W_A	DOM34
orf19.5030	C1_13920W_A	DOS2
orf19.7402	C3_06300W_A	DOT1
orf19.3370	C4_03440C_A	DOT4
orf19.5417	C3_00480C_A	DOT5
orf19.2545	CR_01580C_A	DOT6
orf19.7564	CR_09900C_A	DPB2
orf19.2088	C2_00430C_A	DPB4
orf19.5073	C1_08010W_A	DPM1
orf19.1203.1	C6_00420W_A	DPM2
orf19.4600.1	C4_01920W_A	DPM3
orf19.656	C1_11470C_A	DPP1
orf19.1155	C1_11640C_A	DPP2
orf19.6459	C7_02500C_A	DPP3
orf19.2407	CR_03170W_A	DPS1-1
orf19.2283	C2_07260C_A	DQD1
orf19.2825	CR_02650C_A	DRE2
orf19.5083	C1_08100W_A	DRG1
orf19.7635	CR_10550W_A	DRS1
orf19.3629	C2_08490W_A	DSE1
orf19.2370	CR_06940W_A	DSL1
orf19.297	C3_03010C_A	DTD2
orf19.5159	C7_03020C_A	DUG3
orf19.4002	C5_05100C_A	DUN1
orf19.1428	C4_04220W_A	DUO1
orf19.780	C1_04660W_A	"DUR1,2"
orf19.781	C1_04650W_A	DUR3
orf19.5017	C1_13800C_A	DUR32
orf19.5915	C3_04570C_A	DUR35
orf19.5677	C4_00480W_A	DUR4
orf19.7205	C1_13980C_A	DUR7
orf19.966	C5_00290W_A	DUS4
orf19.3322	C1_01330C_A	DUT1
orf19.5999	C3_05210C_A	DYN1
orf19.2660	C2_08280W_A	EAF3
orf19.396	C1_08510W_A	EAF6
orf19.497	CR_04130C_A	EAF7
orf19.1401	C2_09530W_A	EAP1
orf19.125	C6_01180C_A	EBP1
orf19.5816	C2_02880C_A	EBP7
orf19.3374	C4_03470C_A	ECE1
orf19.6445	CR_08690C_A	ECI1
orf19.5299	C4_04100C_A	ECM1
orf19.299	C3_03030C_A	ECM14
orf19.7436.1	C3_06480C_A	ECM15
orf19.4099	C2_06170C_A	ECM17
orf19.6958	C3_03630W_A	ECM18
orf19.4887	C1_10180C_A	ECM21
orf19.2623	CR_07530C_A	ECM22
orf19.4958	C1_13310W_A	ECM25
orf19.6773	C3_07260C_A	ECM29
orf19.1563	C2_02400W_A	ECM3
orf19.3010.1	C1_03190C_A	ECM33
orf19.4255	C5_02460C_A	ECM331
orf19.1325	C4_03540C_A	ECM38
orf19.5164	C7_02970W_A	ECM39
orf19.2613	CR_02130W_A	ECM4
orf19.6500	C7_02150C_A	ECM42
orf19.5643	C4_00180W_A	ECM7
orf19.6858	C4_05190C_A	EDC3
orf19.3838	C4_04480C_A	EFB1
orf19.610	CR_07890W_A	EFG1
orf19.5498	C2_06340W_A	EFH1
orf19.5788	C2_03100W_A	EFT2
orf19.1154	C1_11650W_A	EGD1
orf19.5858	C3_04140C_A	EGD2
orf19.3029	C1_03320C_A	EHD3
orf19.3040	C1_03390W_A	EHT1
orf19.7626	CR_10490W_A	EIF4E
orf19.1028	C1_03810C_A	ELA1
orf19.6849	C1_04550W_A	ELC1
orf19.7332	CR_09370W_A	ELF1
orf19.7387	C3_06060W_A	ELP3
orf19.1907	C2_00120C_A	EMC9
orf19.6293	CR_07590W_A	EMP24
orf19.731	CR_07180W_A	EMP46
orf19.2746	C4_02550C_A	EMP70
orf19.6070	C1_00390W_A	ENA2
orf19.5170	C7_02910W_A	ENA21
