status_treat2	gene_name
NC	C1_01460W_A
NC	C1_01470W_A
DOWN	C1_01480C_A
NC	C1_01490W_A
NC	C1_01500W_A
UP	C1_01510W_A
NC	C1_01520C_A
NC	C1_01530C_A
NC	C1_01540W_A
UP	C1_01550W_A
UP	C1_01560W_A
NC	C1_01570C_A
NC	C1_01580W_A
NC	C1_01590C_A
NC	C1_01600W_A
UP	C1_01610C_A
UP	C1_01620C_A
NC	C1_01630W_A
NC	C1_01640W_A
NC	C1_01650W_A
UP	C1_01670C_A
NC	C1_01680C_A
DOWN	C1_01690C_A
NC	C1_01700W_A
NC	C1_01710W_A
NC	C1_01720C_A
UP	C1_01740W_A
DOWN	C1_01750W_A
UP	C1_01760W_A
NC	C1_01770W_A
NC	C1_01780C_A
NC	C1_01790W_A
NC	C1_01800W_A
UP	C1_01810C_A
NC	C1_01820C_A
NC	C1_01830C_A
DOWN	C1_01840C_A
UP	C1_01850C_A
UP	C1_01860W_A
NC	C1_01870C_A
NC	C1_01880C_A
NC	C1_01890C_A
UP	C1_01900C_A
NC	C1_01910W_A
UP	C1_01920W_A
NC	C1_01930W_A
NC	C1_01940C_A
NC	C1_01950C_A
UP	C1_01970W_A
UP	C1_01980W_A
UP	C1_01990W_A
UP	C1_02000W_A
NC	C1_02010C_A
NC	C1_02020W_A
NC	C1_02030C_A
NC	C1_02040C_A
NC	C1_02050C_A
NC	C1_02060W_A
NC	C1_02070W_A
UP	C1_02080W_A
UP	C1_02090C_A
UP	C1_02100W_A
NC	C1_02110C_A
DOWN	C1_02120C_A
NC	C1_02130C_A
UP	C1_02140C_A
DOWN	C1_02150W_A
UP	C1_02160W_A
UP	C1_02170C_A
NC	C1_02180W_A
NC	C1_02190W_A
NC	C1_02200C_A
NC	C1_02210W_A
UP	C1_02220C_A
NC	C1_02230W_A
NC	C1_02240W_A
NC	C1_02250W_A
NC	C1_02260C_A
UP	C1_02270C_A
NC	C1_02280C_A
UP	C1_02290C_A
UP	C1_02300W_A
NC	C1_02310C_A
NC	C1_02320C_A
DOWN	C1_02330C_A
NC	C1_02350W_A
UP	C1_02360C_A
UP	C1_02370C_A
UP	C1_02380C_A
UP	C1_02390W_A
UP	C1_02400C_A
NC	C1_02410C_A
UP	C1_02420C_A
UP	C1_02430C_A
UP	C1_02440C_A
UP	C1_02450C_A
NC	C1_02460W_A
NC	C1_02470W_A
NC	C1_02480W_A
NC	C1_02490C_A
UP	C1_02500W_A
NC	C1_02510W_A
UP	C1_02520W_A
NC	C1_02530C_A
NC	C1_02560W_A
NC	C1_02570C_A
UP	C1_02580W_A
NC	C1_02590C_A
NC	C1_02600W_A
UP	C1_02610W_A
NC	C1_02620C_A
UP	C1_02630C_A
NC	C1_02640C_A
NC	C1_02650W_A
NC	C1_02660C_A
UP	C1_02670C_A
NC	C1_02680C_A
NC	C1_02690C_A
UP	C1_02700C_A
NC	C1_02710W_A
NC	C1_02720W_A
NC	C1_02730W_A
NC	C1_02740C_A
NC	C1_02750C_A
UP	C1_02760W_A
NC	C1_02770W_A
NC	C1_02780W_A
NC	C1_02790W_A
UP	C1_02800W_A
NC	C1_02810W_A
NC	C1_02820W_A
UP	C1_02830W_A
NC	C1_02840W_A
NC	C1_02850W_A
UP	C1_02860C_A
NC	C1_02870W_A
UP	C1_02880C_A
UP	C1_02890C_A
NC	C1_02900C_A
UP	C1_02910C_A
NC	C1_02920W_A
NC	C1_02930C_A
NC	C1_02940C_A
UP	C1_02950W_A
UP	C1_02960C_A
NC	C1_02970W_A
UP	C1_02980W_A
UP	C1_02990C_A
NC	C1_03000W_A
DOWN	C1_03010W_A
DOWN	C1_03020C_A
DOWN	C1_03030W_A
UP	C1_03040W_A
UP	C1_03050W_A
NC	C1_03060C_A
NC	C1_03070C_A
NC	C1_03080C_A
DOWN	C1_03090W_A
NC	C1_03100W_A
DOWN	C1_03110W_A
DOWN	C1_03120W_A
NC	C1_03130C_A
UP	C1_03140W_A
UP	C1_03150C_A
NC	C1_03160C_A
NC	C1_03170C_A
NC	C1_03180W_A
NC	C1_03190C_A
UP	C1_03200C_A
NC	C1_03210C_A
NC	C1_03220C_A
NC	C1_03230C_A
NC	C1_03240W_A
UP	C1_03250C_A
UP	C1_03260W_A
UP	C1_03270W_A
NC	C1_03280W_A
UP	C1_03290W_A
UP	C1_03300C_A
NC	C1_03310W_A
NC	C1_03320C_A
UP	C1_03330C_A
UP	C1_03340C_A
NC	C1_03350C_A
NC	C1_03360W_A
NC	C1_03370W_A
DOWN	C1_03380W_A
DOWN	C1_03390W_A
NC	C1_03400W_A
UP	C1_03410W_A
NC	C1_03430W_A
NC	C1_03440C_A
NC	C1_03450C_A
NC	C1_03460C_A
UP	C1_03470C_A
NC	C1_03480C_A
DOWN	C1_03490W_A
NC	C1_03500W_A
NC	C1_03510C_A
NC	C1_03520W_A
NC	C1_03530W_A
UP	C1_03540C_A
NC	C1_03550C_A
UP	C1_03560C_A
UP	C1_03580W_A
NC	C1_03600W_A
NC	C1_03610C_A
DOWN	C1_03620C_A
NC	C1_03630W_A
UP	C1_03640C_A
NC	C1_03650C_A
UP	C1_03660W_A
NC	C1_03670C_A
DOWN	C1_03680W_A
NC	C1_03690W_A
UP	C1_03710C_A
NC	C1_03720C_A
NC	C1_03730C_A
NC	C1_03740W_A
DOWN	C1_03750W_A
NC	C1_03760C_A
NC	C1_03770W_A
NC	C1_03780C_A
NC	C1_03790C_A
UP	C1_03800W_A
UP	C1_03810C_A
UP	C1_03820W_A
NC	C1_03830C_A
UP	C1_03840W_A
UP	C1_03860C_A
UP	C1_03870C_A
UP	C1_03880C_A
UP	C1_03890W_A
UP	C1_03900W_A
UP	C1_03910C_A
UP	C1_03920C_A
NC	C1_03930W_A
NC	C1_03940W_A
NC	C1_03950C_A
NC	C1_03960C_A
UP	C1_03970W_A
UP	C1_03980W_A
UP	C1_03990W_A
UP	C1_04000C_A
UP	C1_04010C_A
UP	C1_04020C_A
NC	C1_04030W_A
UP	C1_04040C_A
NC	C1_04050C_A
NC	C1_04060W_A
UP	C1_04070C_A
UP	C1_04080W_A
NC	C1_04090C_A
NC	C1_04100C_A
NC	C1_04110W_A
UP	C1_04120C_A
NC	C1_04130W_A
UP	C1_04140W_A
UP	C1_04150C_A
NC	C1_04160C_A
DOWN	C1_04170C_A
DOWN	C1_04180W_A
NC	C1_04190C_A
NC	C1_04200C_A
UP	C1_04210C_A
NC	C1_04220C_A
UP	C1_04230W_A
DOWN	C1_04240C_A
UP	C1_04250C_A
DOWN	C1_04260W_A
UP	C1_04270C_A
NC	C1_04280C_A
DOWN	C1_04290C_A
NC	C1_04300C_A
NC	C1_04310C_A
DOWN	C1_04320W_A
UP	C1_04330W_A
NC	C1_04340C_A
UP	C1_04350C_A
NC	C1_04360C_A
NC	C1_04370C_A
NC	C1_04380W_A
NC	C1_04390C_A
NC	C1_04400C_A
NC	C1_04410C_A
NC	C1_04420C_A
NC	C1_04430C_A
NC	C1_04440W_A
NC	C1_04450C_A
UP	C1_04460C_A
UP	C1_04470C_A
NC	C1_04480C_A
NC	C1_04490W_A
NC	C1_04500W_A
UP	C1_04510W_A
NC	C1_04520C_A
UP	C1_04530C_A
NC	C1_04540C_A
UP	C1_04550W_A
NC	C1_04560W_A
UP	C1_04570C_A
NC	C1_04580C_A
DOWN	C1_04590W_A
NC	C1_04600C_A
DOWN	C1_04610W_A
UP	C1_04620W_A
UP	C1_04630C_A
UP	C1_04640W_A
NC	C1_04650W_A
NC	C1_04660W_A
NC	C1_04670W_A
NC	C1_04680W_A
UP	C1_04690C_A
NC	C1_04700C_A
UP	C1_04710C_A
UP	C1_04720W_A
NC	C1_04730C_A
UP	C1_04740W_A
NC	C1_04750W_A
NC	C1_04760C_A
DOWN	C1_04770C_A
NC	C1_04780C_A
NC	C1_04790W_A
UP	C1_04800C_A
NC	C1_04810W_A
NC	C1_04820C_A
NC	C1_04830W_A
NC	C1_04840C_A
NC	C1_04850C_A
NC	C1_04860W_A
UP	C1_04870W_A
NC	C1_04880C_A
NC	C1_04890W_A
NC	C1_04900W_A
DOWN	C1_04910C_A
UP	C1_04930C_A
UP	C1_04940C_A
NC	C1_04950C_A
NC	C1_04960C_A
NC	C1_04970W_A
NC	C1_04980C_A
NC	C1_04990C_A
DOWN	C1_05000W_A
NC	C1_05010C_A
NC	C1_05020C_A
NC	C1_05030C_A
NC	C1_05050C_A
UP	C1_05060W_A
NC	C1_05070C_A
UP	C1_05080W_A
UP	C1_05090W_A
UP	C1_05100W_A
NC	C1_05110C_A
NC	C1_05120W_A
UP	C1_05130W_A
UP	C1_05140W_A
UP	C1_05150C_A
DOWN	C1_05160C_A
NC	C1_05170C_A
DOWN	C1_05180C_A
NC	C1_05190C_A
UP	C1_05200C_A
UP	C1_05210C_A
UP	C1_05220C_A
UP	C1_05230W_A
UP	C1_05240C_A
NC	C1_05250W_A
NC	C1_05260C_A
NC	C1_05270C_A
NC	C1_05280W_A
NC	C1_05290W_A
NC	C1_05300C_A
UP	C1_05320C_A
UP	C1_05330C_A
NC	C1_05340C_A
NC	C1_05350W_A
UP	C1_05360C_A
UP	C1_05370C_A
UP	C1_05380C_A
NC	C1_05390C_A
UP	C1_05400C_A
UP	C1_05410C_A
NC	C1_05420W_A
UP	C1_05430W_A
NC	C1_05440C_A
NC	C1_05450W_A
NC	C1_05460W_A
UP	C1_05470W_A
UP	C1_05480C_A
NC	C1_05490C_A
UP	C1_05500W_A
UP	C1_05510C_A
NC	C1_05520W_A
NC	C1_05530C_A
DOWN	C1_05540C_A
UP	C1_05550C_A
NC	C1_05560W_A
UP	C1_05600W_A
NC	C1_05610W_A
UP	C1_05620C_A
NC	C1_05630C_A
UP	C1_05640C_A
UP	C1_05650W_A
NC	C1_05660C_A
NC	C1_05670W_A
NC	C1_05680C_A
UP	C1_05690C_A
UP	C1_05700W_A
UP	C1_05710C_A
DOWN	C1_05720W_A
UP	C1_05730W_A
UP	C1_05740C_A
UP	C1_05750C_A
DOWN	C1_05760C_A
NC	C1_05770C_A
NC	C1_05780W_A
NC	C1_05790W_A
UP	C1_05800C_A
UP	C1_05810W_A
UP	C1_05820C_A
UP	C1_05830W_A
UP	C1_05840W_A
NC	C1_05850W_A
UP	C1_05860W_A
UP	C1_05870W_A
UP	C1_05880W_A
UP	C1_05890W_A
UP	C1_05900W_A
NC	C1_05910W_A
UP	C1_05920W_A
NC	C1_05930C_A
NC	C1_05940W_A
NC	C1_05950C_A
DOWN	C1_05960W_A
UP	C1_05970W_A
UP	C1_05980W_A
NC	C1_05990C_A
UP	C1_06000W_A
UP	C1_06010W_A
NC	C1_06020W_A
UP	C1_06030C_A
UP	C1_06040W_A
DOWN	C1_06050C_A
NC	C1_06060C_A
NC	C1_06070W_A
NC	C1_06080C_A
NC	C1_06090C_A
UP	C1_06100C_A
UP	C1_06110C_A
UP	C1_06120C_A
UP	C1_06130C_A
UP	C1_06140C_A
UP	C1_06150W_A
UP	C1_06160W_A
UP	C1_06180W_A
NC	C1_06190C_A
UP	C1_06200W_A
UP	C1_06210W_A
UP	C1_06220C_A
UP	C1_06230C_A
UP	C1_06250W_A
UP	C1_06260W_A
UP	C1_06270W_A
UP	C1_06280C_A
NC	C1_06290C_A
UP	C1_06300W_A
UP	C1_06310W_A
NC	C1_06320W_A
UP	C1_06330W_A
UP	C1_06340W_A
NC	C1_06350W_A
NC	C1_06360W_A
UP	C1_06370C_A
UP	C1_06380C_A
UP	C1_06390W_A
UP	C1_06400C_A
NC	C1_06410W_A
NC	C1_06420C_A
UP	C1_06430C_A
UP	C1_06440C_A
DOWN	C1_06450C_A
DOWN	C1_06460C_A
DOWN	C1_06470W_A
NC	C1_06480C_A
UP	C1_06490C_A
NC	C1_06500W_A
UP	C1_06510C_A
UP	C1_06520C_A
UP	C1_06530C_A
NC	C1_06540C_A
NC	C1_06550W_A
NC	C1_06560W_A
NC	C1_06570W_A
DOWN	C1_06580W_A
NC	C1_06590C_A
NC	C1_06600W_A
UP	C1_06610C_A
UP	C1_06620C_A
UP	C1_06630W_A
NC	C1_06640C_A
NC	C1_06650W_A
NC	C1_06660W_A
NC	C1_06670W_A
UP	C1_06680W_A
NC	C1_06690W_A
NC	C1_06700W_A
NC	C1_06710W_A
NC	C1_06720C_A
NC	C1_06730W_A
NC	C1_06740C_A
UP	C1_06750W_A
NC	C1_06760C_A
UP	C1_06770W_A
NC	C1_06780W_A
NC	C1_06790C_A
UP	C1_06800W_A
UP	C1_06810W_A
UP	C1_06820W_A
UP	C1_06830W_A
NC	C1_06840C_A
DOWN	C1_06850W_A
UP	C1_06860W_A
DOWN	C1_06870C_A
UP	C1_06880C_A
DOWN	C1_06890C_A
DOWN	C1_06900C_A
UP	C1_06910C_A
NC	C1_06920C_A
NC	C1_06930W_A
NC	C1_06940C_A
NC	C1_06960W_A
NC	C1_06970C_A
NC	C1_06980C_A
NC	C1_07000W_A
UP	C1_07010W_A
UP	C1_07020C_A
UP	C1_07030C_A
DOWN	C1_07040C_A
UP	C1_07050C_A
NC	C1_07060C_A
NC	C1_07070C_A
UP	C1_07080W_A
UP	C1_07090C_A
NC	C1_07100C_A
NC	C1_07110W_A
NC	C1_07120W_A
NC	C1_07130C_A
UP	C1_07140C_A
UP	C1_07150W_A
DOWN	C1_07160C_A
NC	C1_07170C_A
UP	C1_07180W_A
UP	C1_07190W_A
NC	C1_07200W_A
NC	C1_07210C_A
UP	C1_07220W_A
DOWN	C1_07230W_A
NC	C1_07240W_A
NC	C1_07250C_A
NC	C1_07260C_A
NC	C1_07270W_A
UP	C1_07280C_A
NC	C1_07290W_A
UP	C1_07320W_A
DOWN	C1_07330W_A
NC	C1_07340W_A
UP	C1_07350C_A
UP	C1_07360W_A
UP	C1_07370C_A
NC	C1_07380C_A
UP	C1_07390W_A
NC	C1_07400C_A
UP	C1_07410C_A
NC	C1_07420C_A
UP	C1_07430W_A
NC	C1_07440W_A
NC	C1_07450W_A
NC	C1_07460C_A
UP	C1_07470C_A
UP	C1_07480C_A
UP	C1_07490C_A
NC	C1_07500C_A
UP	C1_07510W_A
NC	C1_07520C_A
NC	C1_07530W_A
NC	C1_07540C_A
NC	C1_07550W_A
UP	C1_07560W_A
UP	C1_07570C_A
UP	C1_07580C_A
NC	C1_07590C_A
NC	C1_07600W_A
UP	C1_07610C_A
UP	C1_07620C_A
NC	C1_07630W_A
NC	C1_07640C_A
UP	C1_07650W_A
UP	C1_07660W_A
UP	C1_07670W_A
UP	C1_07680W_A
UP	C1_07690C_A
NC	C1_07700C_A
NC	C1_07710C_A
UP	C1_07770W_A
NC	C1_07780W_A
UP	C1_07790C_A
UP	C1_07800W_A
NC	C1_07810C_A
UP	C1_07820W_A
UP	C1_07830C_A
NC	C1_07840W_A
UP	C1_07850C_A
UP	C1_07860W_A
NC	C1_07870C_A
NC	C1_07880C_A
DOWN	C1_07890C_A
DOWN	C1_07900W_A
NC	C1_07910C_A
NC	C1_07920W_A
NC	C1_07930C_A
UP	C1_07940W_A
UP	C1_07950C_A
UP	C1_07960W_A
NC	C1_07970C_A
NC	C1_07980C_A
UP	C1_07990C_A
UP	C1_08000W_A
UP	C1_08010W_A
UP	C1_08020W_A
UP	C1_08030W_A
NC	C1_08040W_A
NC	C1_08050W_A
DOWN	C1_08060W_A
DOWN	C1_08070W_A
NC	C1_08080C_A
NC	C1_08090C_A
NC	C1_08100W_A
NC	C1_08110W_A
UP	C1_08120W_A
UP	C1_08130C_A
UP	C1_08140W_A
UP	C1_08150C_A
NC	C1_08160W_A
UP	C1_08170C_A
UP	C1_08180C_A
UP	C1_08190C_A
UP	C1_08200W_A
NC	C1_08210C_A
NC	C1_08220W_A
NC	C1_08230C_A
DOWN	C1_08240C_A
NC	C1_08260C_A
NC	C1_08270C_A
NC	C1_08290C_A
NC	C1_08300W_A
UP	C1_08310W_A
NC	C1_08320W_A
DOWN	C1_08330C_A
NC	C1_08340C_A
DOWN	C1_08350C_A
DOWN	C1_08360C_A
DOWN	C1_08370W_A
DOWN	C1_08380W_A
NC	C1_08390C_A
DOWN	C1_08400C_A
NC	C1_08410C_A
NC	C1_08420W_A
DOWN	C1_08430W_A
UP	C1_08440C_A
NC	C1_08450C_A
DOWN	C1_08460C_A
NC	C1_08470W_A
NC	C1_08480C_A
NC	C1_08490W_A
DOWN	C1_08500C_A
NC	C1_08510W_A
NC	C1_08520C_A
UP	C1_08530W_A
NC	C1_08540C_A
NC	C1_08550C_A
NC	C1_08560W_A
DOWN	C1_08570C_A
NC	C1_08580C_A
DOWN	C1_08590C_A
NC	C1_08600C_A
NC	C1_08610C_A
NC	C1_08620W_A
NC	C1_08630W_A
NC	C1_08640W_A
NC	C1_08650C_A
UP	C1_08660C_A
NC	C1_08670W_A
NC	C1_08680C_A
NC	C1_08690W_A
UP	C1_08700W_A
NC	C1_08710W_A
NC	C1_08730W_A
NC	C1_08740C_A
UP	C1_08750W_A
NC	C1_08760W_A
NC	C1_08770W_A
NC	C1_08780W_A
DOWN	C1_08790W_A
NC	C1_08800W_A
UP	C1_08810C_A
NC	C1_08820C_A
NC	C1_08830C_A
NC	C1_08840W_A
UP	C1_08850C_A
NC	C1_08860C_A
UP	C1_08870C_A
DOWN	C1_08880W_A
UP	C1_08890C_A
NC	C1_08900W_A
UP	C1_08910C_A
NC	C1_08920W_A
NC	C1_08930C_A
DOWN	C1_08940C_A
NC	C1_08950W_A
UP	C1_08960W_A
UP	C1_08970W_A
UP	C1_08980C_A
UP	C1_08990C_A
NC	C1_09000W_A
UP	C1_09010W_A
DOWN	C1_09020W_A
DOWN	C1_09030C_A
NC	C1_09040C_A
NC	C1_09050W_A
UP	C1_09060C_A
NC	C1_09070W_A
DOWN	C1_09080C_A
NC	C1_09090C_A
NC	C1_09100W_A
NC	C1_09110W_A
NC	C1_09120W_A
NC	C1_09130W_A
NC	C1_09140C_A
DOWN	C1_09150W_A
UP	C1_09160W_A
UP	C1_09170W_A
UP	C1_09180W_A
DOWN	C1_09190C_A
NC	C1_09200W_A
NC	C1_09210C_A
UP	C1_09220W_A
NC	C1_09230C_A
NC	C1_09240C_A
DOWN	C1_09250W_A
NC	C1_09260C_A
UP	C1_09270W_A
UP	C1_09280W_A
UP	C1_09290C_A
UP	C1_09300C_A
UP	C1_09310C_A
DOWN	C1_09320C_A
NC	C1_09330W_A
UP	C1_09340C_A
NC	C1_09350W_A
NC	C1_09360C_A
NC	C1_09370W_A
NC	C1_09380W_A
UP	C1_09390W_A
UP	C1_09400C_A
UP	C1_09410W_A
UP	C1_09420W_A
UP	C1_09430W_A
NC	C1_09440W_A
NC	C1_09450C_A
NC	C1_09460W_A
UP	C1_09470C_A
UP	C1_09480W_A
NC	C1_09490C_A
UP	C1_09500W_A
NC	C1_09510W_A
UP	C1_09520C_A
NC	C1_09530W_A
UP	C1_09540W_A
UP	C1_09550W_A
UP	C1_09560C_A
UP	C1_09570W_A
NC	C1_09580C_A
UP	C1_09590C_A
NC	C1_09600C_A
NC	C1_09610W_A
NC	C1_09620C_A
DOWN	C1_09630W_A
DOWN	C1_09640W_A
NC	C1_09650W_A
UP	C1_09660W_A
NC	C1_09670C_A
NC	C1_09680W_A
DOWN	C1_09690W_A
UP	C1_09700W_A
NC	C1_09710C_A
DOWN	C1_09720W_A
UP	C1_09730W_A
UP	C1_09740C_A
NC	C1_09750W_A
UP	C1_09760C_A
UP	C1_09770W_A
NC	C1_09780C_A
UP	C1_09790C_A
NC	C1_09800C_A
NC	C1_09810W_A
NC	C1_09820C_A
NC	C1_09830W_A
UP	C1_09840C_A
NC	C1_09850C_A
NC	C1_09860C_A
NC	C1_09870W_A
NC	C1_09880C_A
UP	C1_09900W_A
NC	C1_09910C_A
UP	C1_09920W_A
UP	C1_09930W_A
NC	C1_09940W_A
NC	C1_09950C_A
NC	C1_09960W_A
UP	C1_09970C_A
UP	C1_09980C_A
NC	C1_09990W_A
NC	C1_10000C_A
NC	C1_10010C_A
NC	C1_10020W_A
NC	C1_10030W_A
UP	C1_10040W_A
UP	C1_10050W_A
UP	C1_10060C_A
NC	C1_10070C_A
NC	C1_10080W_A
NC	C1_10090C_A
NC	C1_10100C_A
UP	C1_10110W_A
NC	C1_10120C_A
UP	C1_10130W_A
UP	C1_10140C_A
UP	C1_10150W_A
DOWN	C1_10160W_A
NC	C1_10170W_A
DOWN	C1_10180C_A
NC	C1_10190W_A
UP	C1_10200C_A
UP	C1_10210C_A
NC	C1_10220C_A
NC	C1_10230C_A
UP	C1_10240C_A
UP	C1_10250C_A
NC	C1_10260C_A
NC	C1_10270C_A
UP	C1_10280C_A
NC	C1_10290W_A
NC	C1_10300W_A
UP	C1_10310W_A
NC	C1_10320W_A
NC	C1_10330C_A
UP	C1_10340W_A
NC	C1_10350C_A
NC	C1_10360C_A
UP	C1_10370W_A
NC	C1_10380C_A
DOWN	C1_10390C_A
DOWN	C1_10400C_A
NC	C1_10410W_A
NC	C1_10420C_A
UP	C1_10430W_A
UP	C1_10440W_A
NC	C1_10450W_A
NC	C1_10460W_A
NC	C1_10470W_A
UP	C1_10480W_A
NC	C1_10490W_A
NC	C1_10500W_A
NC	C1_10510W_A
NC	C1_10520W_A
NC	C1_10530W_A
NC	C1_10540C_A
NC	C1_10550C_A
NC	C1_10560C_A
UP	C1_10570C_A
UP	C1_10580C_A
UP	C1_10590W_A
NC	C1_10600C_A
NC	C1_10610W_A
DOWN	C1_10620W_A
UP	C1_10630C_A
UP	C1_10640C_A
NC	C1_10650W_A
UP	C1_10660W_A
NC	C1_10670C_A
NC	C1_10680C_A
NC	C1_10690W_A
NC	C1_10700C_A
DOWN	C1_10710C_A
NC	C1_10720C_A
UP	C1_10730W_A
UP	C1_10740C_A
NC	C1_10750C_A
NC	C1_10760W_A
UP	C1_10770W_A
UP	C1_10780C_A
UP	C1_10790W_A
UP	C1_10800C_A
UP	C1_10810W_A
NC	C1_10820C_A
NC	C1_10830W_A
DOWN	C1_10840C_A
UP	C1_10850W_A
NC	C1_10860C_A
DOWN	C1_10870W_A
NC	C1_10880W_A
NC	C1_10890C_A
NC	C1_10910C_A
NC	C1_10920W_A
NC	C1_10930C_A
UP	C1_10940C_A
UP	C1_10950C_A
NC	C1_10960W_A
NC	C1_10970W_A
UP	C1_10980W_A
NC	C1_10990C_A
NC	C1_11000C_A
NC	C1_11010C_A
UP	C1_11020W_A
DOWN	C1_11030W_A
DOWN	C1_11040W_A
UP	C1_11050W_A
DOWN	C1_11060C_A
NC	C1_11070W_A
NC	C1_11080W_A
UP	C1_11090C_A
NC	C1_11100W_A
UP	C1_11110C_A
NC	C1_11120C_A
NC	C1_11130W_A
NC	C1_11140W_A
UP	C1_11150W_A
NC	C1_11160C_A
NC	C1_11170W_A
UP	C1_11180C_A
NC	C1_11190W_A
UP	C1_11200W_A
NC	C1_11210C_A
NC	C1_11220C_A
UP	C1_11230W_A
UP	C1_11240C_A
NC	C1_11250W_A
UP	C1_11260C_A
UP	C1_11270W_A
UP	C1_11280W_A
UP	C1_11290W_A
UP	C1_11300C_A
NC	C1_11310C_A
DOWN	C1_11320C_A
NC	C1_11330C_A
NC	C1_11340W_A
DOWN	C1_11350C_A
DOWN	C1_11360W_A
NC	C1_11370C_A
NC	C1_11380W_A
UP	C1_11390W_A
UP	C1_11400C_A
UP	C1_11410C_A
UP	C1_11420W_A
UP	C1_11430W_A
NC	C1_11440C_A
DOWN	C1_11450C_A
NC	C1_11470C_A
DOWN	C1_11480W_A
UP	C1_11490C_A
UP	C1_11500C_A
UP	C1_11510C_A
NC	C1_11520C_A
UP	C1_11530C_A
NC	C1_11540C_A
DOWN	C1_11550W_A
NC	C1_11560C_A
UP	C1_11570W_A
NC	C1_11580W_A
NC	C1_11590W_A
NC	C1_11600W_A
UP	C1_11610C_A
UP	C1_11620W_A
UP	C1_11630C_A
NC	C1_11640C_A
NC	C1_11650W_A
NC	C1_11660W_A
NC	C1_11670W_A
UP	C1_11680C_A
UP	C1_11690W_A
UP	C1_11700C_A
UP	C1_11710C_A
NC	C1_11720W_A
NC	C1_11730W_A
NC	C1_11740W_A
NC	C1_11750W_A
NC	C1_11760C_A
UP	C1_11770C_A
UP	C1_11780W_A
NC	C1_11790W_A
NC	C1_11800C_A
NC	C1_11810W_A
DOWN	C1_11850W_A
UP	C1_11860W_A
NC	C1_11870W_A
NC	C1_11880W_A
UP	C1_11890W_A
UP	C1_11900C_A
UP	C1_11910W_A
UP	C1_11920W_A
NC	C1_11930W_A
UP	C1_11940C_A
